Name,カテゴリ,タイプ,バリュー,New
責めるのではなく依頼するコミュニケション,コミュニケーション,求める行動,ヘドアビ,23Q4経営合宿
立場・役割による分断を生まない対話の姿勢,コミュニケーション,求める行動,ヘドアビ,23Q4経営合宿
文化や言語の違いを許容して、相手の気持ちを考えたコミュニケーションをすること,コミュニケーション,求める行動,ヘドアビ,
自分の意見がたとえネガティブな意見であったとしても言えること,コミュニケーション,求める行動,ヘドアビ,
相手の夢やWillを知り、相手の理解してコミュニケーションをしていくこと,コミュニケーション,求める行動,ヘドアビ,
協業する外部企業や業務委託でも、仲間としてコミュニケーション＆情報開示すること,バリュー発信,求める行動,ヘドアビ,23Q5経営合宿
外部に自分たちのビジョン・ミッション / やってきたことを積極的に発信すること,バリュー発信,求める行動,ヘドアビ,
自分の専門領域を超えて、別の領域にもチャレンジする,成長と挑戦,求める行動,ブレテク,
過去に執着せず、常に新しい挑戦をする,成長と挑戦,求める行動,ブレテク,
自ら挑戦し続けること。またその挑戦を支えること,成長と挑戦,求める行動,ヘドアビ,
違うプロジェクトのメンバーとも積極的にコミュニケーションを取る,チームワーク,求める行動,ヘドアビ,23Q5経営合宿
アラートを早めに上げることができること,チームワーク,求める行動,ヘドアビ,23Q4経営合宿
個性を活かしたコンテンツ体験会を実施できていること,チームワーク,求める行動,ヘドアビ,23Q4経営合宿
プロジェクト間の情報共有を行いチームの分断が生きないこと,チームワーク,求める行動,ヘドアビ,23Q4経営合宿
個人目標を全員が応援できること,チームワーク,求める行動,ヘドアビ,23Q4経営合宿
バランスよくオフラインとオンラインのコミュニケーションを使い分けること,チームワーク,求める行動,ヘドアビ,
透明性の高い情報共有や経営合宿を行うこと,チームワーク,求める行動,ヘドアビ,
外の人と話すことによって今のGraffityについての価値を確認すること,チームワーク,求める行動,ヘドアビ,
適切な方法による権限移譲でメンバー同士協力できる体制を築くこと,チームワーク,求める行動,ヘドアビ,
会社として、組織として、お互いにキャリアプランを把握していて、それを応援していること,キャリアサポート,求める行動,ヘドアビ,
Vision Proや生成AIなどの最新技術を使いこなす,技術のインプット,求める行動,ブレテク,
自分が知らない分野は積極的に専門家に頼る,技術のインプット,求める行動,ブレテク,
原理原則から推論し、周り流されず本質を捉える,技術のインプット,求める行動,ブレテク,
技術のインプットを楽しみ、惜しみなくアウトプットもする,技術のインプット,求める行動,ブレテク,
新しいエンタメコンテンツのインプット,ユーザー視点,求める行動,ブレテク,23Q5経営合宿
IPを理解した上で、仕様に落とし込む力,ユーザー視点,求める行動,ブレテク,23Q4経営合宿
ユーザー視点と開発視点のバランスを取る,ユーザー視点,求める行動,ブレテク,
テクノロジーだけでなく、カルチャー理解も大事にする,ユーザー視点,求める行動,ブレテク,
ハッカソンからプロダクトをリリースできること,実行プロセス,求める行動,ブレテク,23Q5経営合宿
最後のクオリティアップをするためのプロジェクトマネジメント・体制整備,実行プロセス,求める行動,ブレテク,23Q3経営合宿
ワークフローの整備、技術・手法の共有を積極的に行い、脱属人化を目指す,実行プロセス,求める行動,ブレテク,23Q3経営合宿
レビュー文化を促進し、スキル成長と品質向上を目指す,実行プロセス,求める行動,ブレテク,
効率化・生産性を意識し、最適化・自動化を促進する,実行プロセス,求める行動,ブレテク,
チーム間・プロジェクト間で積極的にナレッジを蓄積し共有できること,ナレッジ共有,求める行動,ヘドアビ,23Q3経営合宿
会社のブランド意識を持つ,ブランド意識,求める行動,ブレテク,
プロ意識を個々人の仕事で持つ,ブランド意識,求める行動,ブレテク,
勉強会を通した継続的なインプット,技術のアウトプット,求める行動,ブレテク,23Q5経営合宿
積極的な外部イベントの参加,技術のアウトプット,求める行動,ブレテク,23Q3経営合宿
積極的な社内知見の発信,技術のアウトプット,求める行動,ブレテク,23Q3経営合宿
視座を高く持ち、視野を広げ、現状を常に疑う習慣,問題意識,求める行動,ブレデシ,23Q4経営合宿
領域を超えて複数の問題意識を持つ,問題意識,求める行動,ブレデシ,
最新の技術を積極的にキャッチアップし、プロダクトをリリースするスピード感のある意思決定,意思決定,求める行動,ブレデシ,23Q5経営合宿
問題を分割し、可逆な意思決定を迅速に行う,意思決定,求める行動,ブレデシ,
共通言語を確立し、チーム全体で意思決定をサポートする土壌を整える,意思決定,求める行動,ブレデシ,
大きな決断に先立ち、スピード感を持って小さな検証を行い、不確実性を減少させる,意思決定,求める行動,ブレデシ,
有識者や競合他社との対話を通じて1次情報を収集し、意思決定に活かす,意思決定,求める行動,ブレデシ,
主体性を促進する権限範囲を設定し、意思決定に関与し、必要に応じて権限を移譲する,意思決定,求める行動,ブレデシ,
データを活用して意思決定を行う,意思決定,求める行動,ブレデシ,
優先順位を設定し、それに従ってブレないようにする,意思決定,求める行動,ブレデシ,
情報が不足していても勇気を持って決断・挑戦する,意思決定,求める行動,ブレデシ,
社内の状況やフェーズに合わせて制度・ルールを柔軟に変更できること,改善,求める行動,ブレデシ,23Q3経営合宿
KPTなどの振り返りを通したプロセス改善を継続すること,改善,求める行動,ブレデシ,
チーム全員で失敗を共有し、改善へ向かう,改善,求める行動,ブレデシ,23Q5経営合宿
決めた後に、関係者に正しく情報・ネクストアクションを共有する,報告・共有,求める行動,ブレデシ,23Q4経営合宿
悪いことほど早く「ほうれんそう」を徹底する,報告・共有,求める行動,ブレデシ,
余裕がない場合、アラートやタスクを他メンバーに託す決断を行う,報告・共有,求める行動,ブレデシ,23Q5経営合宿
チーム全体が働きやすいオフィス環境の整備,働く環境,求める行動,ヘドアビ,23Q3経営合宿
直近だけではなく中長期を見通した計画を建てられる,経営,求める行動,ブレデシ,23Q4経営合宿
経験したことない様々なアソビを体験すること,アソビの言語化,求める行動,アソプラ,New
人と人のつながりを創る遊びを言語化し続けること,アソビの言語化,求める行動,アソプラ,New
日々の業務コミュニケーションに遊び心を取り入れること,アソビ心,求める行動,アソプラ,New
手触り感の追求した体験を作ること,アソビ作り,求める行動,アソプラ,New
体験やプロダクトを感動するまで造り込む,アソビ作り,求める行動,アソプラ,New
コンプライアンスを無視したコミュニケーション,コミュニケーション,求めない行動,ヘドアビ,23Q4経営合宿
評論家ムーブ、ある問題を自分ごと化せずに批判を行うこと,コミュニケーション,求めない行動,ヘドアビ,
コミュニケーションから逃げて議論を避けること,コミュニケーション,求めない行動,ヘドアビ,
議論の場で主観が強くなりすぎること,コミュニケーション,求めない行動,ヘドアビ,
相手や自分の可能性を否定し、高め合えない関係性を築くこと,コミュニケーション,求めない行動,ヘドアビ,
感情的になってコミュニケーションをすること,コミュニケーション,求めない行動,ヘドアビ,
チーム全体の負債を自分の働きだけで解決しようとすること,チームワーク,求めない行動,ヘドアビ,
行き過ぎた自責、ひとりで責任を背負い込むこと,チームワーク,求めない行動,ヘドアビ,
忙しくて、情報共有を行わない、行えないこと,チームワーク,求めない行動,ヘドアビ,
運用でカバーすること,実行プロセス,求めない行動,ブレテク,
技術不足・経験不足による不確実性の高さを工数見積もりに含めないこと,実行プロセス,求めない行動,ブレテク,
一人の問題を全体の問題として拡大解釈すること,問題意識,求めない行動,ブレデシ,
休日埋め合わせ前提の働き方,意思決定,求めない行動,ブレデシ,23Q4経営合宿
我関せずの姿勢で居てしまうこと,意思決定,求めない行動,ブレデシ,
浮いてるボールをそのままにし、誰かに決めてもらおうとすること,意思決定,求めない行動,ブレデシ,
有言不実行、責任放棄をすること,実行力,求めない行動,ブレデシ,
過保護なマネジメントを行うこと,マネジメント,求めない行動,ブレデシ,
